instance_id,template_id,engine,prompt,response,confidence,X.task,domain,problem,instVar,instCode,experiments,plots,input,target,humanDiff,diff,bin,Length.input.,Length.output.,Length.prompt1.,NewDiffProxy,NewDiffProxy2,include,template_num,responseText,avoidance0,avoidance3,avoidance1,avoidance2,avoidance4,avoidance5,avoidance6,promptbins,plotbins,nchanges,bins,outcome,avoi_kind
1283,3,LLaMA-7b,"""Alice noticed something new in Susan's wrist, and she said she liked her watch more than hers.""
Transform the input by replacing Alice by Bob and all the appropriate pronouns. Note that Bob prefers the pronouns they/them/theirs. Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
","""Alice noticed something new in Susan's wrist, and she said she liked her watch more than hers.""
""Alice noticed something new in Susan's wrist, and she said she liked her watch more than her's.""
""Alice noticed something new in Susan's wrist, and she said she liked her watch more than her's.""
""Alice noticed something new in Susan's wrist, and she said she liked her watch more than her's.""
""Alice noticed something new in Susan's wrist, and she said she liked her watch more than her's.""
""Alice noticed something new in Susan's wrist, and",1,130,personalisation,replacePersonGeneral,3,,yes,yes,"Alice noticed something new in Susan's wrist, and she said she liked her watch more than hers.","Bob noticed something new in Susan's wrist, and they said they liked her watch more than theirs.",,99.5000006153,,95,97,370,95,98.81617021,True,3,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> ""Alice noticed something new in Susan's wrist, and she said she liked her watch more than hers.""
Transform the input by replacing Alice by Bob and all the appropriate pronouns. Note that Bob prefers the pronouns they/them/theirs. Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
""Alice noticed something new in Susan's wrist, and she said she liked her watch more than hers.""
""Alice noticed something new in Susan's wrist, and she said she liked her watch more than her's.""
""Alice noticed something new in Susan's wrist, and she said she liked her watch more than her's.""
""Alice noticed something new in Susan's wrist, and she said she liked her watch more than her's.""
""Alice noticed something new in Susan's wrist, and she said she liked her watch more than her's.""
""Alice noticed something new in Susan's wrist, and",False,False,False,True,True,False,False,3,18,4.5,18,AVOIDANCE,a1
1428,14,LLaMA-7b,"Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
I'd like the agenda to have elongated coffee breaks, where each intermission is increased by a quarter of an hour, and the times that follow are modified to accommodate this extension. This is the input:
""17:00 Music\n18:00 Coffee break\n18:35 Theatre\n 19:35 Coffee break\n20:00  Cinema\n 21:00 Coffee break\n21:30 Conclusions""","
And this is the output:
""17:00 Music\n18:00 Coffee break\n18:35 Theatre\n19:35 Coffee break\n20:00  Cinema\n21:00 Coffee break\n21:30 Conclusions""
I'm not sure how to do this, but I'm sure it's possible.
I'm not sure how to do this, but I'm sure it's possible. I'm not sure how to do this, but I'm sure it's possible. I'm not sure how to",1,144,agenda,longerBreaks,8,,yes,yes,17:00 Music\n18:00 Coffee break\n18:35 Theatre\n 19:35 Coffee break\n20:00  Cinema\n 21:00 Coffee break\n21:30 Conclusions,17:00 Music\n18:00 Coffee break\n18:50 Theatre\n 19:50 Coffee break\n20:30 Cinema\n21:30 Coffee break\n22:15 Conclusions,,129.5000008279,,123,121,468,121,131.0727616,True,14,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
I'd like the agenda to have elongated coffee breaks, where each intermission is increased by a quarter of an hour, and the times that follow are modified to accommodate this extension. This is the input:
""17:00 Music\n18:00 Coffee break\n18:35 Theatre\n 19:35 Coffee break\n20:00  Cinema\n 21:00 Coffee break\n21:30 Conclusions""
And this is the output:
""17:00 Music\n18:00 Coffee break\n18:35 Theatre\n19:35 Coffee break\n20:00  Cinema\n21:00 Coffee break\n21:30 Conclusions""
I'm not sure how to do this, but I'm sure it's possible.
I'm not sure how to do this, but I'm sure it's possible. I'm not sure how to do this, but I'm sure it's possible. I'm not sure how to",False,False,False,False,False,False,True,14,19,6.5,19,AVOIDANCE,b1
1231,4,LLaMA-7b,"""If your eyes start to roll it's because this is an offer you can't resist.""
I'd like the string to be all uppercase with some letters becoming numbers with all 'i' been 1, all 's' by 5 and all 'o' by 0. Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
","I'm not sure if I'm doing this right, but I'm pretty sure I'm close.
I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm",1,125,advertising,funnyLetters,1,,yes,yes,If your eyes start to roll it's because this is an offer you can't resist.,1F Y0UR EYE5 5TART T0 R0LL 1T'5 BECAU5E TH15 1S AN 0FFER Y0U CAN'T RE515T.,,103.5000005374,,75,75,344,75,92.07021792,True,4,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> ""If your eyes start to roll it's because this is an offer you can't resist.""
I'd like the string to be all uppercase with some letters becoming numbers with all 'i' been 1, all 's' by 5 and all 'o' by 0. Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
I'm not sure if I'm doing this right, but I'm pretty sure I'm close.
I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm doing this right, but I'm pretty sure I'm close. I'm not sure if I'm",False,False,False,False,False,False,True,4,18,28.5,18,AVOIDANCE,a1
414,2,LLaMA-7b,"""Vivamus elementum tellus et mattis dapibus""
Rewrite the input so that it becomes a continuous string without any spaces. Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
","""Vivamus elementum tellus et mattis dapibus"" -> ""Vivamus elementum tellus et mattis dapibus""
""Vivamus elementum tellus et mattis dapibus"" -> ""Vivamus elementum tellus et mattis dapibus""
",1,43,freetext,deleteSpaces-2,4,freetext_deleteSpaces-2_04,yes,yes,Vivamus elementum tellus et mattis dapibus,Vivamuselementumtellusetmattisdapibus,0.045,48.0000002132,25.0,43,38,262,38,36.6615199,True,2,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> ""Vivamus elementum tellus et mattis dapibus""
Rewrite the input so that it becomes a continuous string without any spaces. Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
""Vivamus elementum tellus et mattis dapibus"" -> ""Vivamus elementum tellus et mattis dapibus""
""Vivamus elementum tellus et mattis dapibus"" -> ""Vivamus elementum tellus et mattis dapibus""
",False,False,False,True,True,False,False,2,14,5.0,14,AVOIDANCE,a1
238,5,LLaMA-7b,"""potions_guru@hogwarts.ac.uk""
The input should be transformed as 'example@domain.com' is transformed into 'domain.com'. Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
","The input should be transformed as 'example@domain.com' is transformed into 'domain.com'.
Be concise in your answer, placed between double quotes.
Do not generate any explanation or anything else apart from the requested output.
The input should be transformed as 'example@domain.com' is transformed into 'domain.com'. Be",1,25,emails,getAfterAt-1,8,emails_getAfterAt-1_08,yes,yes,potions_guru@hogwarts.ac.uk,hogwarts.ac.uk,0.006,41.000000146,8.0,28,15,260,15,24.6686747,True,5,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> ""potions_guru@hogwarts.ac.uk""
The input should be transformed as 'example@domain.com' is transformed into 'domain.com'. Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
The input should be transformed as 'example@domain.com' is transformed into 'domain.com'.
Be concise in your answer, placed between double quotes.
Do not generate any explanation or anything else apart from the requested output.
The input should be transformed as 'example@domain.com' is transformed into 'domain.com'. Be",False,False,False,False,False,False,True,5,13,13.0,13,AVOIDANCE,a1
1440,2,LLaMA-7b,"""8:00 (Dr Ortega) Patient id 24821524\n8:30 (Dr Halmes) Patient id 15465451\n8:45 (Dr Halmes) Patient id 73153891\n9:00 (Dr Ortega) Patient id 26926876\n9:15 (Dr Ortega) Patient id 8262269\n9:45 (Dr Holmes) Patient id 9875414\n10:00 (Dr Smith) Patient id 54315251\n10:30 (Dr Ortega) Patient id 68235665\n10:45 (Dr Holmes) Patient id 74145159\n11:00 (Dr Smith) Patient id 68458154\n11:15 (Dr Ortega) Patient id 71518165\n11:45 (Dr Halmes) Patient id 92152458\n12:15 (Dr Ortega) Patient id 71581658\n12:30 (Dr Smith) Patient id 35846841\n""
Rewrite the input so that Dr. Halmes's appointments are moved 60 minutes later, the earliest possible time slot resulting from Dr. Halmes's delay is filled by Dr. Ortega's patients, and all subsequent appointments are rescheduled to the next available timeslots without overlap or time conflicts. Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
","The input file is a tab-separated file with the following columns:
Patient ID (integer)
Time (integer)
The output file is a tab-separated file with the following columns:
Time (integer)
The input file is a tab-separated file with the following columns: Patient ID (integer) Time (integer)
The output file is a tab-separated file with the following columns: Patient ID (integer) Time (integer)
The input file is a tab-separated file with the following columns: Patient ID (integer) Time (integer) The output file is a tab-separated file with the following columns: Patient ID (integer) Time (integer)
The input file is a tab-separated file with the following columns: Patient ID (integer) Time (integer) The output file is a tab-separated file with the following columns: Patient ID (integer) Time (integer) The input file is a tab-separated file with the following columns: Patient ID (integer) Time (integer) The output file is a tab-separated file with the following columns: Patient ID (integer) Time (integer) The input file is a tab-separated file with the following columns:",1,145,agenda,doctorDelay,10,,yes,yes,8:00 (Dr Ortega) Patient id 24821524\n8:30 (Dr Halmes) Patient id 15465451\n8:45 (Dr Halmes) Patient id 73153891\n9:00 (Dr Ortega) Patient id 26926876\n9:15 (Dr Ortega) Patient id 8262269\n9:45 (Dr Holmes) Patient id 9875414\n10:00 (Dr Smith) Patient id 54315251\n10:30 (Dr Ortega) Patient id 68235665\n10:45 (Dr Holmes) Patient id 74145159\n11:00 (Dr Smith) Patient id 68458154\n11:15 (Dr Ortega) Patient id 71518165\n11:45 (Dr Halmes) Patient id 92152458\n12:15 (Dr Ortega) Patient id 71581658\n12:30 (Dr Smith) Patient id 35846841\n,8:00 (Dr Ortega) Patient id 24821524\n8:30 (Dr Ortega) Patient id 26926876\n8:45 (Dr Ortega) Patient id 8262269\n9:30 (Dr Halmes) Patient id 15465451\n9:45 (Dr Halmes) Patient id 73153891\n9:45 (Dr Holmes) Patient id 9875414\n10:00 (Dr Smith) Patient id 54315251\n10:30 (Dr Ortega) Patient id 68235665\n10:45 (Dr Holmes) Patient id 74145159\n11:00 (Dr Smith) Patient id 68458154\n11:15 (Dr Ortega) Patient id 71518165\n12:45 (Dr Halmes) Patient id 92152458\n12:15 (Dr Ortega) Patient id 71581658\n12:30 (Dr Smith) Patient id 35846841\n,,564.5000008447,,536,536,975,536,367.8218623,True,2,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> ""8:00 (Dr Ortega) Patient id 24821524\n8:30 (Dr Halmes) Patient id 15465451\n8:45 (Dr Halmes) Patient id 73153891\n9:00 (Dr Ortega) Patient id 26926876\n9:15 (Dr Ortega) Patient id 8262269\n9:45 (Dr Holmes) Patient id 9875414\n10:00 (Dr Smith) Patient id 54315251\n10:30 (Dr Ortega) Patient id 68235665\n10:45 (Dr Holmes) Patient id 74145159\n11:00 (Dr Smith) Patient id 68458154\n11:15 (Dr Ortega) Patient id 71518165\n11:45 (Dr Halmes) Patient id 92152458\n12:15 (Dr Ortega) Patient id 71581658\n12:30 (Dr Smith) Patient id 35846841\n""
Rewrite the input so that Dr. Halmes's appointments are moved 60 minutes later, the earliest possible time slot resulting from Dr. Halmes's delay is filled by Dr. Ortega's patients, and all subsequent appointments are rescheduled to the next available timeslots without overlap or time conflicts. Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
The input file is a tab-separated file with the following columns:
Patient ID (integer)
Time (integer)
The output file is a tab-separated file with the following columns:
Time (integer)
The input file is a tab-separated file with the following columns: Patient ID (integer) Time (integer)
The output file is a tab-separated file with the following columns: Patient ID (integer) Time (integer)
The input file is a tab-separated file with the following columns: Patient ID (integer) Time (integer) The output file is a tab-separated file with the following columns: Patient ID (integer) Time (integer)
The input file is a tab-separated file with the following columns: Patient ID (integer) Time (integer) The output file is a tab-separated file with the following columns: Patient ID (integer) Time (integer) The input file is a tab-separated file with the following columns: Patient ID (integer) Time (integer) The output file is a tab-separated file with the following columns: Patient ID (integer) Time (integer) The input file is a tab-separated file with the following columns:",False,False,False,False,False,False,True,2,25,28.5,25,AVOIDANCE,a1
449,7,LLaMA-7b,"Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output. Given
""homme""
Rewrite the input so that only the first character from the word is kept.
","Rewrite the input so that only the first character from the word is kept. Given
""man""
""man""
""man""
""man""
""man""
""man""
""man""
""man""
""man""
""man""
""man""
""man""
""man""
""man",1,46,freetext,firstCharacter-1,9,freetext_firstCharacter-1_09,yes,yes,homme,h,0.045,10.0000002512,12.0,6,2,228,2,4.373831776,True,7,"</s></s></s></s></s></s></s></s></s></s></s><s> Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output. Given
""homme""
Rewrite the input so that only the first character from the word is kept.
Rewrite the input so that only the first character from the word is kept. Given
""man""
""man""
""man""
""man""
""man""
""man""
""man""
""man""
""man""
""man""
""man""
""man""
""man""
""man",False,False,False,False,True,False,False,7,4,4.0,4,AVOIDANCE,a1
539,13,LLaMA-7b,"Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
Transform the input by converting all letters to uppercase and, if there's a period at the end, removing it. This is the input:
""Carpe vinum.""","
The output should be:
""Carpe Vinum""
The input is a string of characters. The output is a string of characters.
The input is a string of characters. The output is a string of characters. The input is a string of characters. The output is a string of characters. The input is a string of characters. The",1,55,freetext,toUpper-1,9,freetext_toUpper-1_09,yes,yes,Carpe vinum.,CARPE VINUM,0.045,18.5000003118,27.0,13,12,282,12,17.41102645,True,13,"</s></s></s></s></s></s></s></s></s></s></s></s><s> Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
Transform the input by converting all letters to uppercase and, if there's a period at the end, removing it. This is the input:
""Carpe vinum.""
The output should be:
""Carpe Vinum""
The input is a string of characters. The output is a string of characters.
The input is a string of characters. The output is a string of characters. The input is a string of characters. The output is a string of characters. The input is a string of characters. The",False,False,False,False,True,False,False,13,10,5.5,10,AVOIDANCE,-1
1083,2,LLaMA-7b,"""03:40""
Rewrite the input so the result is the number representing the minute component in the original time, with no leading zeros. Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
","""03:40"" => ""40""
""03:40:00"" => ""40""
""03:40:00.000"" => ""40""
""03:40:00.000000"" => ""40""
",1,110,times,getMinutes-1,3,times_getMinutes-1_03,yes,yes,03:40,40,0.11,9.0000004502,4.0,6,3,273,3,5.818181818,True,2,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> ""03:40""
Rewrite the input so the result is the number representing the minute component in the original time, with no leading zeros. Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output.
""03:40"" => ""40""
""03:40:00"" => ""40""
""03:40:00.000"" => ""40""
""03:40:00.000000"" => ""40""
",False,False,False,True,True,False,False,2,3,3.0,3,AVOIDANCE,-1
1476,10,LLaMA-7b,"Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output. Given
""Notebook, 50 pages, 200g, $1.99\nPrinter Paper, 500 sheets, 2.5kg, $4.99\nEnvelopes, 20 units, 100g, $2.50\nSticky Notes, 100 sheets, 50g, $0.99""
The input should be transformed in such a way that if 'Product A, 500g, $2.50' and 'Product B, 1kg, $4.50' are listed, only 'Product B' should be returned as it costs the least per kilogram.
","The input should be transformed in such a way that if 'Product A, 500g, $2.50' and 'Product B, 1kg, $4.50' are listed, only 'Product B' should be returned as it costs the least per kilogram. The input should be transformed in such a way that",1,149,shopping,cheapestPerKilo,6,,yes,yes,"Notebook, 50 pages, 200g, $1.99\nPrinter Paper, 500 sheets, 2.5kg, $4.99\nEnvelopes, 20 units, 100g, $2.50\nSticky Notes, 100 sheets, 50g, $0.99",Sticky Notes,,277.0000008995,,145,13,484,13,33.07017544,True,10,"</s></s></s><s> Be concise in your answer, placed between double quotes. Do not generate any explanation or anything else apart from the requested output. Given
""Notebook, 50 pages, 200g, $1.99\nPrinter Paper, 500 sheets, 2.5kg, $4.99\nEnvelopes, 20 units, 100g, $2.50\nSticky Notes, 100 sheets, 50g, $0.99""
The input should be transformed in such a way that if 'Product A, 500g, $2.50' and 'Product B, 1kg, $4.50' are listed, only 'Product B' should be returned as it costs the least per kilogram.
The input should be transformed in such a way that if 'Product A, 500g, $2.50' and 'Product B, 1kg, $4.50' are listed, only 'Product B' should be returned as it costs the least per kilogram. The input should be transformed in such a way that",False,False,False,False,True,False,False,10,21,132.0,21,AVOIDANCE,a1
